,character,consonant,vowel,tone,segment1,segment2,mlabel,slabel,mlabel2,slabel2,freq,consonant1,vowel1,tone1,consonant2,vowel2,tone2
0,叮,d,ing,1,口,丁,r,r,regular,regular,high,k,ou,3,d,ing,1
1,打,d,a,3,扌,丁,r,r,alliterating,alliterating,high,sh,ou,3,d,ing,1
2,朾,t,ing,2,木,丁,r,r,rhyming,rhyming,low,m,u,4,d,ing,1
3,汀,t,ing,1,氵,丁,r,r,rhyming,rhyming,high,sh,ui,3,d,ing,1
4,玎,d,ing,1,王,丁,r,r,regular,regular,mid,w,ang,2,d,ing,1
5,町,t,ing,3,田,丁,r,r,rhyming,rhyming,high,t,ian,2,d,ing,1
6,訂,d,ing,4,言,丁,r,r,regular,regular,low,y,an,2,d,ing,1
7,酊,d,ing,3,酉,丁,r,r,regular,regular,mid,y,ou,3,d,ing,1
8,釘,d,ing,1,釒,丁,r,r,regular,regular,low,j,in,1,d,ing,1
9,靪,d,ing,1,革,丁,r,r,regular,regular,low,g,e,2,d,ing,1
10,坏,h,uai,4,土,不,r,l,radical,radical,high,t,u,3,b,u,4
11,抔,p,ou,2,扌,不,r,l,radical,rhyming,mid,sh,ou,3,b,u,4
12,肧,p,ei,1,肉,不,r,r,radical,radical,rare,r,ou,4,b,u,4
13,衃,p,ei,1,血,不,r,l,radical,radical,rare,x,ie,3,b,u,4
14,忸,n,iu,3,忄,丑,r,r,radical,radical,high,x,in,1,ch,ou,3
15,狃,n,iu,3,犭,丑,r,r,radical,radical,mid,q,uan,3,ch,ou,3
16,粈,r,ou,3,米,丑,r,r,rhyming,rhyming,rare,m,i,3,ch,ou,3
17,紐,n,iu,3,糸,丑,r,r,radical,radical,low,m,i,4,ch,ou,3
18,衄,n,v,4,血,丑,r,l,radical,radical,mid,x,ie,3,ch,ou,3
19,鈕,n,iu,3,釒,丑,r,r,radical,radical,low,j,in,1,ch,ou,3
20,伹,q,u,1,亻,且,r,r,alliterating,alliterating,mid,r,en,2,q,ie,3
21,俎,z,u,3,仌,且,r,r,radical,radical,mid,b,ing,1,q,ie,3
