,Response ID,紑,沑,飵,氿,阤,伃,秔,恔,汵,軵,軨,艅,翫,姺,侊,汭,溓,鉋,煔,觤,訽,抲,咍,觡,佮,蛣,梠,硞,鎕,飪,煥,羜,拕,愃,粔,皯,靉,猵,諟,咮,毈,鋂,紬,膰,憕,袙,柀,搤,謓,啌,穋,誚,慔,饛,黵,綌,嗹,琲,禡,螝,correct,correct_rate,overlap,overlap std,overlap min,overlap max
0,R_12Ebaa2F23xlCei,pou,niu,zuo,gou,ta,yu,hang,jiao,cen,fu,ling,yu,ruan,di,guang,ne,lian,pao,nian,wei,ju,peng,yi,luo,qia,jie,lv,gao,tang,ren,huan,ling,tuo,xuan,ju,cun,nuan,pian,jie,zhu,duan,hui,you,pan,deng,bai,pi,yi,zhen,qiang,miu,qiao,mo,meng,chan,yu,lian,fei,chi,ai,27,0.4666666666666667,0.4679012345679013,0.06384367798437737,0.2833333333333333,0.6
1,R_2rAb3GgmV3vrGnK,bu,nou,zha,jiu,ta,yu,kang,jiao,yin,fu,ling,yu,yuan,xian,huang,na,qian,pao,zhan,cui,gou,ke,tai,ge,qia,ji,lv,gao,tang,ren,huan,ning,tuo,xuan,ju,jian,ai,pian,ti,zhu,luan,hui,dian,fan,deng,bo,pi,ai,dian,kong,mu,shao,mo,meng,dan,yu,da,fei,ma,kui,25,0.4333333333333333,0.520679012345679,0.06602959640586832,0.3333333333333333,0.7
2,R_1FmJmlCuWPm491y,huai,chou,zha,qiu,chi,yu,kang,jiao,cen,che,ling,yu,ruan,xian,guang,na,lian,bao,zhan,wei,ju,ke,yi,luo,qia,ji,lv,hao,tang,ren,huan,ning,tuo,xuan,ju,xuan,ai,bian,ti,shu,duan,hui,xiu,fan,cheng,bo,pi,yi,shen,kong,liao,shao,mo,meng,dan,yu,lian,fei,ma,huai,26,0.45,0.5478395061728395,0.07026800270652135,0.38333333333333336,0.7
3,R_2zHmHSpU321A4Ov,pi,chou,zuo,qiu,ye,shu,kang,jiao,cen,fu,ling,yu,ruan,xian,guang,ne,qian,pao,zhan,wei,ju,ke,yi,ge,qia,jie,lv,gao,tang,ren,huan,ning,ta,xuan,ju,po,ai,bian,di,zhu,luan,hui,you,pan,deng,po,pi,yi,zhen,kong,miu,qiao,mo,meng,zhan,yu,ti,fei,feng,gui,25,0.4333333333333333,0.5114197530864197,0.07231019208371091,0.31666666666666665,0.6833333333333333
4,R_1QydggKBW1It3va,huai,chou,za,qiu,ta,yu,kang,jiao,jin,fu,ling,yu,yuan,xi,guang,ne,qian,pao,nian,cui,ju,ge,tai,hu,qia,jie,lv,gu,tang,ren,huan,ning,ta,xuan,ju,jian,ai,pian,ti,wei,qin,mei,you,fan,deng,bo,bai,ai,chen,kong,miu,xiao,mo,meng,zhan,yu,lian,fei,ma,chou,23,0.4,0.4975308641975309,0.06188914545399084,0.36666666666666664,0.6166666666666667
5,R_12niVo9Oj4kO3lB,huai,chou,zha,jiu,chi,yu,kang,jiao,chen,fu,ling,zhou,yuan,huan,guang,na,xian,pao,yan,wei,ju,ke,yi,jiao,he,ji,lv,hao,tang,ren,huan,ning,tuo,xuan,ju,gan,yun,pian,ti,zhu,qing,hui,you,fan,cheng,po,bo,yi,chen,kong,miu,xiao,mo,meng,dian,yu,da,fei,ma,wei,23,0.4,0.49351851851851863,0.06871207104430606,0.38333333333333336,0.6333333333333333
6,R_1HbmXB994bnXu8f,bu,chou,zuo,jiu,chi,yu,hui,jiao,jin,fu,ling,chuan,ruan,xian,hu,nei,jian,pao,yan,gui,gou,ke,tai,ge,he,ha,lv,hai,tang,ren,huan,ning,tuo,xuan,gui,xuan,ai,pian,ti,zhu,fu,mei,you,fan,cheng,bai,pi,shi,chen,kong,miao,xiao,mo,meng,zhan,gu,lian,fei,ma,gui,27,0.4666666666666667,0.487037037037037,0.059228678342716855,0.36666666666666664,0.6666666666666666
7,R_UtIh3IOvPchGdIl,huai,you,zha,chou,ta,yu,hang,jiao,jin,fu,ling,shu,wan,wan,guang,na,lian,pao,yan,cui,ju,ke,yi,luo,qia,jie,lv,gao,tang,shi,huan,ning,tuo,xuan,ju,xuan,ai,pian,ti,zhu,duan,hai,you,fan,deng,pa,bai,yi,shen,qiang,mie,xiao,mo,meng,chu,yu,lian,fei,ma,gui,27,0.4666666666666667,0.5089506172839506,0.05984895058732629,0.38333333333333336,0.6666666666666666
8,R_3RmGzxCdtGsLngy,huan,chou,za,jiu,chi,yu,keng,jiao,yin,fu,ling,yu,yuan,xi,guang,na,jian,bao,nian,gui,ju,gou,ha,luo,ga,ga,lv,hao,tang,ren,huan,ning,tuo,xuan,qu,gan,ai,bian,ti,zhu,luan,mei,you,pan,cheng,bo,po,yi,shen,qiang,miu,qiao,mo,meng,chan,yu,lian,fei,ma,kui,26,0.45,0.4827160493827161,0.05309725294261485,0.38333333333333336,0.6166666666666667
9,R_u7CxLfLslCWAj8R,huai,chou,yi,jiu,chi,ya,hang,jiao,jin,fu,lin,yu,kou,jin,bang,na,qiao,bai,pou,tu,hun,gou,tai,cou,qiao,er,lv,hao,tang,wang,du,ning,tuo,xuan,ju,cai,ai,tu,ti,ti,luan,hai,zhou,pan,cheng,bai,bei,yi,tian,kong,miu,xiao,mo,meng,yu,yu,yi,fei,ma,gui,16,0.2666666666666666,0.3598765432098766,0.04872789705012795,0.25,0.4666666666666667
